model_timestamp,avg_reward,avg_waiting_time,avg_queue_length,min_waiting_time,max_reward
20250618_104016,0.00,0.00,0.00,0.00,0.00
20250618_103512,0.00,0.00,0.00,0.00,0.00
20250618_103010,0.00,0.00,0.00,0.00,0.00
20250618_102508,0.00,0.00,0.00,0.00,0.00
20250618_102005,0.00,0.00,0.00,0.00,0.00
20250618_101502,0.00,0.00,0.00,0.00,0.00
20250618_101001,0.00,0.00,0.00,0.00,0.00
20250618_100457,0.00,0.00,0.00,0.00,0.00
20250618_095954,0.00,0.00,0.00,0.00,0.00
20250618_095452,0.00,0.00,0.00,0.00,0.00
20250618_094950,0.00,0.00,0.00,0.00,0.00
20250618_094447,0.00,0.00,0.00,0.00,0.00
20250618_093945,0.00,0.00,0.00,0.00,0.00
20250618_093443,0.00,0.00,0.00,0.00,0.00
20250618_092941,0.00,0.00,0.00,0.00,0.00
20250618_092439,0.00,0.00,0.00,0.00,0.00
20250618_091938,0.00,0.00,0.00,0.00,0.00
20250618_084944,0.00,0.00,0.00,0.00,0.00
20250618_084442,0.00,0.00,0.00,0.00,0.00
20250517_104939,-1.20,290.85,2.49,0.00,0.08
20250517_100051,0.00,0.00,0.25,0.00,0.00
20250516_203131,-0.32,78.93,1.75,0.00,0.08
20250516_111142,2.59,28.12,0.77,0.00,22.50
20250516_105430,-32.19,76.81,3.06,0.00,22.35
